,School,conf,conf_div,Location,Enrollment[1],Class,Nickname,Colors,Gender,Established,conf_div
0,Allen Park Cabrini,Catholic HS League (Detroit),Int_1,"Allen Park, Wayne County",265,C,Monarchs,Blue & Gold,Coed,1960,
1,Ann Arbor Father Gabriel Richard,Catholic HS League (Detroit),AA,"Ann Arbor, Washtenaw County",536,B,Fighting Irish,Green & White,Coed,1868,
2,Ann Arbor Greenhills,Catholic HS League (Detroit),,"Ann Arbor, Washtenaw County",318,C,Gryphons,Navy & Green,Coed,1969,
3,Bloomfield Hills Brother Rice,Catholic HS League (Detroit),Central,"Bloomfield Twp, Oakland County",564,A,Warriors,Black & Orange,All-Boys,1960,
5,Bloomfield Hills Cranbrook-Kingswood,Catholic HS League (Detroit),Int_1,"Bloomfield Hills, Oakland County",811,B,Cranes/Aardvarks,Blue & Green,Coed,1922,
7,Clarkston Everest Collegiate,Catholic HS League (Detroit),Int_2,"Clarkston, Oakland County",121,D,Mountaineers,Black & Gold,Coed,2008,
8,Dearborn Divine Child,Catholic HS League (Detroit),AA,"Dearborn, Wayne County",878,A,Falcons,Red & Gray,Coed,1958,
9,Detroit Catholic Central,Catholic HS League (Detroit),Central,"Novi, Oakland County",1012,A,Shamrocks,Blue & White,All-Boys,1928,
10,Detroit Cristo Rey,Catholic HS League (Detroit),Int_2,"Detroit, Wayne County",329,C,Wolves,Green & Gold,Coed,2008,
11,Detroit Loyola,Catholic HS League (Detroit),AA,"Detroit, Wayne County",136,C,Bulldogs,Blue & White,All-Boys,1993,
12,University of Detroit Jesuit,Catholic HS League (Detroit),Central,"Detroit, Wayne County",743,A,Cubs,Maroon & White,All-Boys,1877,
14,Grosse Pointe Woods University Liggett,Catholic HS League (Detroit),,"Grosse Pointe Woods, Wayne County",286,C,Knights,"Red, White & Blue",Coed,1878,
15,Macomb Austin Catholic,Catholic HS League (Detroit),Int_2,"Chesterfield Twp, Macomb County",81,D,Crusaders,Navy & Silver,Coed,2011,
16,Macomb Lutheran North,Catholic HS League (Detroit),AA,"Macomb, Macomb County",574,B,Mustangs,Black & Gold,Coed,1972,
17,Madison Heights Bishop Foley Catholic,Catholic HS League (Detroit),Int_1,"Madison Heights, Oakland County",316,C,Ventures,Black & Gold,Coed,1965,
18,Marine City Cardinal Mooney Catholic,Catholic HS League (Detroit),Int_2,"Marine City, St. Clair County",145,D,Cardinals,Black & Red,Coed,1990,
19,Orchard Lake St. Mary's Preparatory,Catholic HS League (Detroit),Central,"Orchard Lake, Oakland County",471,A,Eaglets,Red & White,Coed,1885,
20,Riverview Gabriel Richard,Catholic HS League (Detroit),Int_2,"Riverview, Wayne County",313,C,Pioneers,Burgundy & White,Coed,1965,
21,Royal Oak Shrine Catholic,Catholic HS League (Detroit),Int_1,"Royal Oak, Oakland County",249,C,Knights,Blue & Gold,Coed,1941,
27,Warren De La Salle,Catholic HS League (Detroit),Central,"Warren, Macomb County",702,A,Pilots,Purple & Gold,All-Boys,1926,
29,Waterford Our Lady of the Lakes,Catholic HS League (Detroit),Int_1,"Waterford, Oakland County",100,D,Lakers,Blue & White,Coed,1960,
30,West Bloomfield Frankel Jewish Academy,Catholic HS League (Detroit),Int_2,"West Bloomfield Twp, Oakland County",147,D,Jaguars,Blue & White,Coed,2000,
