Field,icon_full,league,home_team,icon_pair,field_capacity,undergrad_pop,note
Commerica Park - Tigers ,DET,MLB,Detroit Tigers,DET,41083,,
Coors Field - Largest Park in the MLB,COL,MLB,Colorado Rockies,COL,50398,,
Fenway Park - Smallest Park in the MLB,BOS,MLB,Boston Red Sox,BOS,37731,,
Battle Creek - Robert L Nichols Field - muni,muni,,,,6000,,
Boyne City County Park Muni,muni,,,,,,
Coldwater Borden Field - Muni,muni,,,,,,
Coldwater Heritage Park - muni,muni,,,,,,
Eaton Park - muni,muni,,,,,,
Glen Lake Community School,muni,,,,,,
Hancock Driving Park - Houghton Muni - muni,muni,,,,,,
Historic Hamtramck Stadium - muni,muni,,,,1500,,
Historic Marsh Field Muskegon - Muni,muni,,,,1000,,
Kircher Municipal Field - muni,muni,,,,500,,
Onsted Community HS,muni,,,,,,
Royal Oak Memorial Park - muni,muni,,,,600,,
Sanborn Park - Port Huron - muni,muni,,,,400,,
The Corner Ballpark - Detroit - muni,CORNER,,,,2500,,
Westside Park (Lansing) - muni,muni,,,,360,,
Whaley Park - Flint - muni,muni,,,,525,,
Dow Diamond (Midland) ,LOONS,Single-A,Great Lakes Loons,LOONS,5200,,
Homer Stryker Field (Kalamazoo),pro,Northwoods,Kalamazoo Growlers,pro,3500,,
Jimmy Johns Stadium (Utica) ,pro,USPBL,Multiple,pro,4500,,
Jackson Field (Lansing),NUTS,Single-A,Lansing Lugnuts,NUTS,9527,,
MCCU Field (Battle Creek),pro,Northwoods,Battle Creek Battle Jacks,pro,2193,,
Turtle Creek Stadium (Traverse City) ,pro,Northwoods,Traverse City Pit Spitters,pro,4660,,
LMCU Ballpark (Grand Rapids),CAPS,Single-A,West Michigan Whitecaps ,CAPS,8942,,
Adrian College,adrian,NCAA-3,Adrian Bulldogs,small_coll,,1805,
Albion College ,albion,NCAA-3,Albion Britons,small_coll,300,1523,
Calvin College,calvin,NCAA-3,Calvin Knights,small_coll,,3068,
CMU ,cmu,NCAA-1,Central Michigan Chippawa,cmu,,11417,
Cornerstone Baseball Field ,college,NAIA,Cornerstone Golden Eagles,small_coll,500,1507,
Davenport University ,davenport,NCAA-2,Davenport Panthers,small_coll,300,4352,
EMU ,emu,NCAA-1,Easter Michigan Eagles,emu,2500,12730,
Gainey Athletic Complex - Field 1 ,college,NCAA-3,Hope College Flying Dutchman,small_coll,,,
Gainey Athletic Complex - Field 2 ,college,NCAA-3,,small_coll,,,
GVSU ,gvsu,NCAA-2,Grand Valley State Lakers,small_coll,465 ,19379,
Hillsdale College ,hillsdale,NCAA-2,Hillsdale Chargers,small_coll,,1515,
Hope College,hope,NCAA-3,,small_coll,400,3132,
Kalamazoo College ,kzoo,NCAA-3,Kalamazoo College Hornets,small_coll,650,1241,
Klenk Park (Alma College),alma,NCAA-3,Alma College Scots,small_coll,2430,1340,
Old College Field (MSU),msu,NCAA-1,Michigan State Spartans,msu,2500,38574,
Northwood University ,college,,,small_coll,200,2116,
Oakland University ,oakland,NCAA-1,Oakland Golden Grizzlies,oakland,500,13771,
Olivet College ,olivet,NCAA-3,Olivet Comets,small_coll,100,851,
Sagniaw Valley State ,svsu,NCAA-2,Saginaw Valley State Cardinals,small_coll,346,6789,
U of M ,uofm,NCAA-1,Michigan Wolverines,uofm,4000,32282,
Wayne State Univ ,wayne,NCAA-2,Wayne State Warriors,small_coll,500,16839,
WMU ,wmu,NCAA-1,Western Michigan Broncos,wmu,1500,14587,
